,0
0,0
1,0
2,1
3,0
4,1
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,1
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,1
62,1
63,0
64,0
65,0
66,0
67,0
68,1
69,1
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,1
109,0
110,0
111,0
112,0
113,1
114,1
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,1
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,1
246,0
247,1
248,0
249,1
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,0
271,0
272,0
273,0
274,1
275,1
276,1
277,1
278,1
279,0
280,1
281,1
282,0
283,0
284,1
285,0
286,1
287,1
288,0
289,0
290,1
291,1
292,1
293,0
294,0
295,1
296,0
297,0
298,0
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,1
314,0
315,1
316,1
317,1
318,1
319,0
320,1
321,0
322,0
323,0
324,1
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,1
341,1
342,1
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,1
351,0
352,1
353,1
354,0
355,1
356,0
357,1
358,1
359,1
360,1
361,0
362,1
363,1
364,1
365,1
366,0
367,0
368,0
369,1
370,1
371,0
372,0
373,0
374,1
375,0
376,0
377,1
378,0
379,0
380,0
381,0
382,0
383,1
384,1
385,0
386,0
387,0
388,0
389,0
390,0
391,1
392,0
393,0
394,0
395,1
396,1
397,1
398,0
399,0
400,1
401,0
402,0
403,0
404,0
405,0
406,1
407,0
408,1
409,1
410,0
411,0
412,0
413,0
414,1
415,0
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,1
432,0
433,0
434,0
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,0
443,1
444,1
445,0
446,0
447,0
448,0
449,0
450,0
451,1
452,1
453,0
454,1
455,0
456,1
457,0
458,1
459,1
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,1
468,1
469,0
470,0
471,1
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,1
481,1
482,1
483,1
484,1
485,0
486,1
487,0
488,0
489,0
490,1
491,0
492,1
493,1
494,1
495,1
496,1
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,1
